group,model,trait,item,corrected_item_total_r
AI,claude-sonnet-4.6,Agreeableness,AGR1,-0.00503645174090253
AI,claude-sonnet-4.6,Agreeableness,AGR2,0.29309155617667804
AI,claude-sonnet-4.6,Agreeableness,AGR3,
AI,claude-sonnet-4.6,Agreeableness,AGR4,0.2139067534858388
AI,claude-sonnet-4.6,Agreeableness,AGR5,0.11018720288691787
AI,claude-sonnet-4.6,Agreeableness,AGR6,
AI,claude-sonnet-4.6,Agreeableness,AGR7,0.23805214561876792
AI,claude-sonnet-4.6,Agreeableness,AGR8,
AI,claude-sonnet-4.6,Agreeableness,AGR9,
AI,claude-sonnet-4.6,Agreeableness,AGR10,-0.029004540877105252
AI,claude-sonnet-4.6,Conscientiousness,CSN1,0.5591458319190071
AI,claude-sonnet-4.6,Conscientiousness,CSN2,0.5591458319190071
AI,claude-sonnet-4.6,Conscientiousness,CSN3,
AI,claude-sonnet-4.6,Conscientiousness,CSN4,
AI,claude-sonnet-4.6,Conscientiousness,CSN5,
AI,claude-sonnet-4.6,Conscientiousness,CSN6,0.5591458319190071
AI,claude-sonnet-4.6,Conscientiousness,CSN7,0.14095001664150933
AI,claude-sonnet-4.6,Conscientiousness,CSN8,0.20777388492264645
AI,claude-sonnet-4.6,Conscientiousness,CSN9,0.04624068743715573
AI,claude-sonnet-4.6,Conscientiousness,CSN10,0.14816374294231627
AI,claude-sonnet-4.6,Openness,OPN1,
AI,claude-sonnet-4.6,Openness,OPN2,0.11824459213029823
AI,claude-sonnet-4.6,Openness,OPN3,
AI,claude-sonnet-4.6,Openness,OPN4,0.11824459213029823
AI,claude-sonnet-4.6,Openness,OPN5,
AI,claude-sonnet-4.6,Openness,OPN6,0.04302067225480412
AI,claude-sonnet-4.6,Openness,OPN7,
AI,claude-sonnet-4.6,Openness,OPN8,
AI,claude-sonnet-4.6,Openness,OPN9,0.019726963519606726
AI,claude-sonnet-4.6,Openness,OPN10,
AI,deepseek-v3.2,Extraversion,EXT1,0.7357380250602362
AI,deepseek-v3.2,Extraversion,EXT2,0.6744213803752438
AI,deepseek-v3.2,Extraversion,EXT3,0.6625037582484034
AI,deepseek-v3.2,Extraversion,EXT4,0.7486056045777527
AI,deepseek-v3.2,Extraversion,EXT5,0.7164206814137024
AI,deepseek-v3.2,Extraversion,EXT6,0.7611121354137456
AI,deepseek-v3.2,Extraversion,EXT7,0.729642715187463
AI,deepseek-v3.2,Extraversion,EXT8,0.7849777084595978
AI,deepseek-v3.2,Extraversion,EXT9,0.7693683304784917
AI,deepseek-v3.2,Extraversion,EXT10,0.7635006845833214
AI,deepseek-v3.2,Emotional_Stability,EST1,0.8438826706008056
AI,deepseek-v3.2,Emotional_Stability,EST2,0.8821075254729757
AI,deepseek-v3.2,Emotional_Stability,EST3,0.8553484674444843
AI,deepseek-v3.2,Emotional_Stability,EST4,0.8463521578416532
AI,deepseek-v3.2,Emotional_Stability,EST5,0.9012248863330037
AI,deepseek-v3.2,Emotional_Stability,EST6,0.8792249955529702
AI,deepseek-v3.2,Emotional_Stability,EST7,0.6993606542472451
AI,deepseek-v3.2,Emotional_Stability,EST8,0.797061202838855
AI,deepseek-v3.2,Emotional_Stability,EST9,0.8109250207422091
AI,deepseek-v3.2,Emotional_Stability,EST10,0.8689097756757924
AI,deepseek-v3.2,Agreeableness,AGR1,0.49986362026567227
AI,deepseek-v3.2,Agreeableness,AGR2,0.5834258529875299
AI,deepseek-v3.2,Agreeableness,AGR3,0.30752278347170797
AI,deepseek-v3.2,Agreeableness,AGR4,0.5726805085073315
AI,deepseek-v3.2,Agreeableness,AGR5,0.6638018761824337
AI,deepseek-v3.2,Agreeableness,AGR6,0.5519043827517071
AI,deepseek-v3.2,Agreeableness,AGR7,0.6873418602117236
AI,deepseek-v3.2,Agreeableness,AGR8,0.4735339395223044
AI,deepseek-v3.2,Agreeableness,AGR9,0.39606826518016175
AI,deepseek-v3.2,Agreeableness,AGR10,0.4246904842255988
AI,deepseek-v3.2,Conscientiousness,CSN1,0.7839757738019767
AI,deepseek-v3.2,Conscientiousness,CSN2,0.762295937138745
AI,deepseek-v3.2,Conscientiousness,CSN3,0.5267173159363232
AI,deepseek-v3.2,Conscientiousness,CSN4,0.6647368518254905
AI,deepseek-v3.2,Conscientiousness,CSN5,0.629988419499849
AI,deepseek-v3.2,Conscientiousness,CSN6,0.7463928509792453
AI,deepseek-v3.2,Conscientiousness,CSN7,0.5806455223274877
AI,deepseek-v3.2,Conscientiousness,CSN8,0.5787798954824066
AI,deepseek-v3.2,Conscientiousness,CSN9,0.6657261566381996
AI,deepseek-v3.2,Conscientiousness,CSN10,0.4987238764724863
AI,deepseek-v3.2,Openness,OPN1,0.5484818213099755
AI,deepseek-v3.2,Openness,OPN2,0.503472603511595
AI,deepseek-v3.2,Openness,OPN3,0.5191283647980809
AI,deepseek-v3.2,Openness,OPN4,0.5019469621366419
AI,deepseek-v3.2,Openness,OPN5,0.49609006743944534
AI,deepseek-v3.2,Openness,OPN6,0.5680606351692995
AI,deepseek-v3.2,Openness,OPN7,0.4869310053266252
AI,deepseek-v3.2,Openness,OPN8,0.4922205501700357
AI,deepseek-v3.2,Openness,OPN9,0.3339110551340452
AI,deepseek-v3.2,Openness,OPN10,0.6041138483587948
AI,gemini-3-flash-preview,Extraversion,EXT1,0.9869508340745826
AI,gemini-3-flash-preview,Extraversion,EXT2,0.9753227938014953
AI,gemini-3-flash-preview,Extraversion,EXT3,0.3097900621790977
AI,gemini-3-flash-preview,Extraversion,EXT4,0.9643479361842568
AI,gemini-3-flash-preview,Extraversion,EXT5,0.9282207643646557
AI,gemini-3-flash-preview,Extraversion,EXT6,0.9669535538348486
AI,gemini-3-flash-preview,Extraversion,EXT7,0.8652474632537561
AI,gemini-3-flash-preview,Extraversion,EXT8,0.9493761849556034
AI,gemini-3-flash-preview,Extraversion,EXT9,0.985134624621827
AI,gemini-3-flash-preview,Extraversion,EXT10,0.9730810795062066
AI,gemini-3-flash-preview,Emotional_Stability,EST1,0.606074092064624
AI,gemini-3-flash-preview,Emotional_Stability,EST2,0.40172406627668894
AI,gemini-3-flash-preview,Emotional_Stability,EST3,0.6987339443820358
AI,gemini-3-flash-preview,Emotional_Stability,EST4,0.39751673739871185
AI,gemini-3-flash-preview,Emotional_Stability,EST5,0.2522521712635343
AI,gemini-3-flash-preview,Emotional_Stability,EST6,0.1537546447845017
AI,gemini-3-flash-preview,Emotional_Stability,EST7,0.17286171531147135
AI,gemini-3-flash-preview,Emotional_Stability,EST8,0.4672413107234061
AI,gemini-3-flash-preview,Emotional_Stability,EST9,0.35054552860372923
AI,gemini-3-flash-preview,Emotional_Stability,EST10,0.6691469915632313
AI,gemini-3-flash-preview,Agreeableness,AGR1,0.6713417981398127
AI,gemini-3-flash-preview,Agreeableness,AGR2,0.2993406698609794
AI,gemini-3-flash-preview,Agreeableness,AGR3,
AI,gemini-3-flash-preview,Agreeableness,AGR4,0.32001746074351567
AI,gemini-3-flash-preview,Agreeableness,AGR5,0.7061644149069659
AI,gemini-3-flash-preview,Agreeableness,AGR6,0.08140027522940899
AI,gemini-3-flash-preview,Agreeableness,AGR7,0.656431506896769
AI,gemini-3-flash-preview,Agreeableness,AGR8,0.16264025400300422
AI,gemini-3-flash-preview,Agreeableness,AGR9,
AI,gemini-3-flash-preview,Agreeableness,AGR10,0.2690742280939685
AI,gemini-3-flash-preview,Conscientiousness,CSN1,0.24527172902882421
AI,gemini-3-flash-preview,Conscientiousness,CSN2,0.17472666332964862
AI,gemini-3-flash-preview,Conscientiousness,CSN3,0.17619829794780906
AI,gemini-3-flash-preview,Conscientiousness,CSN4,0.08159632206686332
AI,gemini-3-flash-preview,Conscientiousness,CSN5,0.14546992245019888
AI,gemini-3-flash-preview,Conscientiousness,CSN6,0.17472666332964862
AI,gemini-3-flash-preview,Conscientiousness,CSN7,0.20007381856484657
AI,gemini-3-flash-preview,Conscientiousness,CSN8,
AI,gemini-3-flash-preview,Conscientiousness,CSN9,0.010876980143535154
AI,gemini-3-flash-preview,Conscientiousness,CSN10,0.14197086271503598
AI,gemini-3-flash-preview,Openness,OPN1,0.7174092768893027
AI,gemini-3-flash-preview,Openness,OPN2,0.5099672102691943
AI,gemini-3-flash-preview,Openness,OPN3,0.38548711574853656
AI,gemini-3-flash-preview,Openness,OPN4,0.5217848143071772
AI,gemini-3-flash-preview,Openness,OPN5,0.6929581237630713
AI,gemini-3-flash-preview,Openness,OPN6,0.16171597572872362
AI,gemini-3-flash-preview,Openness,OPN7,0.21371900741582603
AI,gemini-3-flash-preview,Openness,OPN8,0.6553126494073714
AI,gemini-3-flash-preview,Openness,OPN9,0.03645591374035988
AI,gemini-3-flash-preview,Openness,OPN10,0.3430173338791306
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT1,0.9622161485069282
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT2,0.9636014121827706
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT3,0.9364750369976793
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT4,0.9286953810948958
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT5,0.8750218956322029
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT6,0.9242677743517916
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT7,0.962536021127575
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT8,0.8839634555066472
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT9,0.8787605998748487
AI,gemini-3.1-flash-lite-preview,Extraversion,EXT10,0.8847931572550404
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST1,0.7361870985930984
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST2,0.7373903895390567
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST3,0.8108529920641596
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST4,0.7596514692478245
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST5,0.6221996746909729
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST6,0.6405087974024697
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST7,0.6230824152486273
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST8,0.5795031113511694
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST9,0.6601905661573512
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,EST10,0.7046326318343862
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR1,0.6817840632691451
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR2,0.7707277388013772
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR3,
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR4,0.8251018078296244
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR5,0.8350310324820361
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR6,0.7729859931261971
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR7,0.7468335615764158
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR8,0.08766545348709182
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR9,0.3074913699350442
AI,gemini-3.1-flash-lite-preview,Agreeableness,AGR10,0.716923928768089
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN1,0.5170597009686763
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN2,0.4769990984826764
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN3,0.6058707210159673
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN4,0.5323694591434958
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN5,0.4266581381687572
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN6,0.4841482317282906
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN7,0.5356912262037139
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN8,0.24076312429111604
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN9,0.45305990186284584
AI,gemini-3.1-flash-lite-preview,Conscientiousness,CSN10,0.5876115189490108
AI,gemini-3.1-flash-lite-preview,Openness,OPN1,0.536114931125991
AI,gemini-3.1-flash-lite-preview,Openness,OPN2,0.6708454999920632
AI,gemini-3.1-flash-lite-preview,Openness,OPN3,0.7266338004409486
AI,gemini-3.1-flash-lite-preview,Openness,OPN4,0.671488967407527
AI,gemini-3.1-flash-lite-preview,Openness,OPN5,0.545373242526878
AI,gemini-3.1-flash-lite-preview,Openness,OPN6,0.31966967694456516
AI,gemini-3.1-flash-lite-preview,Openness,OPN7,0.7242181855989669
AI,gemini-3.1-flash-lite-preview,Openness,OPN8,0.2748863217677844
AI,gemini-3.1-flash-lite-preview,Openness,OPN9,0.34214728355358737
AI,gemini-3.1-flash-lite-preview,Openness,OPN10,0.7296115272556186
AI,gpt-5.4,Extraversion,EXT1,0.9122397281301177
AI,gpt-5.4,Extraversion,EXT2,0.9424743747479756
AI,gpt-5.4,Extraversion,EXT3,0.38601756092647976
AI,gpt-5.4,Extraversion,EXT4,0.9424743747479756
AI,gpt-5.4,Extraversion,EXT5,0.7159599411147057
AI,gpt-5.4,Extraversion,EXT6,0.733109522829376
AI,gpt-5.4,Extraversion,EXT7,0.8766445520890885
AI,gpt-5.4,Extraversion,EXT8,0.9424882527349412
AI,gpt-5.4,Extraversion,EXT9,0.9083854023472923
AI,gpt-5.4,Extraversion,EXT10,0.9036476995018936
AI,gpt-5.4,Emotional_Stability,EST1,0.9106932364553033
AI,gpt-5.4,Emotional_Stability,EST2,0.9588600796574352
AI,gpt-5.4,Emotional_Stability,EST3,0.8793978168915427
AI,gpt-5.4,Emotional_Stability,EST4,0.9646875527422051
AI,gpt-5.4,Emotional_Stability,EST5,0.9512022152958238
AI,gpt-5.4,Emotional_Stability,EST6,0.9597624524267775
AI,gpt-5.4,Emotional_Stability,EST7,0.8665283808957136
AI,gpt-5.4,Emotional_Stability,EST8,0.9475205298966654
AI,gpt-5.4,Emotional_Stability,EST9,0.8789236522385179
AI,gpt-5.4,Emotional_Stability,EST10,0.9262496478015336
AI,gpt-5.4,Agreeableness,AGR1,0.02344895384656967
AI,gpt-5.4,Agreeableness,AGR2,0.7365427850349056
AI,gpt-5.4,Agreeableness,AGR3,
AI,gpt-5.4,Agreeableness,AGR4,0.21564640313757327
AI,gpt-5.4,Agreeableness,AGR5,0.09720429548928286
AI,gpt-5.4,Agreeableness,AGR6,0.4191120666072266
AI,gpt-5.4,Agreeableness,AGR7,0.16146969701288288
AI,gpt-5.4,Agreeableness,AGR8,0.14054217608383307
AI,gpt-5.4,Agreeableness,AGR9,0.10296629657005323
AI,gpt-5.4,Agreeableness,AGR10,0.42227232564157097
AI,gpt-5.4,Conscientiousness,CSN1,0.20269539669037023
AI,gpt-5.4,Conscientiousness,CSN2,0.22595948716606204
AI,gpt-5.4,Conscientiousness,CSN3,0.6482463784115995
AI,gpt-5.4,Conscientiousness,CSN4,0.2103256635366964
AI,gpt-5.4,Conscientiousness,CSN5,0.2260177545045066
AI,gpt-5.4,Conscientiousness,CSN6,0.18977676894481285
AI,gpt-5.4,Conscientiousness,CSN7,0.3717416543168723
AI,gpt-5.4,Conscientiousness,CSN8,0.1467188345323096
AI,gpt-5.4,Conscientiousness,CSN9,0.6631650390689845
AI,gpt-5.4,Conscientiousness,CSN10,0.642199326227283
AI,gpt-5.4,Openness,OPN1,0.6183834702700883
AI,gpt-5.4,Openness,OPN2,0.4463614270872162
AI,gpt-5.4,Openness,OPN3,0.656812135094778
AI,gpt-5.4,Openness,OPN4,0.03359505563946401
AI,gpt-5.4,Openness,OPN5,0.06405807230570972
AI,gpt-5.4,Openness,OPN6,0.7243510796022737
AI,gpt-5.4,Openness,OPN7,0.6056763810090366
AI,gpt-5.4,Openness,OPN8,0.5886412171863595
AI,gpt-5.4,Openness,OPN9,0.44151687144823476
AI,gpt-5.4,Openness,OPN10,0.6680063662684687
AI,gpt-5.4-mini,Extraversion,EXT1,0.9161099490354337
AI,gpt-5.4-mini,Extraversion,EXT2,0.9072059203458558
AI,gpt-5.4-mini,Extraversion,EXT3,0.5002613055632678
AI,gpt-5.4-mini,Extraversion,EXT4,0.7583856325401722
AI,gpt-5.4-mini,Extraversion,EXT5,0.7637765856814825
AI,gpt-5.4-mini,Extraversion,EXT6,0.6574112846672465
AI,gpt-5.4-mini,Extraversion,EXT7,0.8755117123984578
AI,gpt-5.4-mini,Extraversion,EXT8,0.8376739526286244
AI,gpt-5.4-mini,Extraversion,EXT9,0.7277580919693413
AI,gpt-5.4-mini,Extraversion,EXT10,0.7652553089406618
AI,gpt-5.4-mini,Emotional_Stability,EST1,0.8596468459018994
AI,gpt-5.4-mini,Emotional_Stability,EST2,0.8750308546616111
AI,gpt-5.4-mini,Emotional_Stability,EST3,0.6895244337419126
AI,gpt-5.4-mini,Emotional_Stability,EST4,0.7096583924992285
AI,gpt-5.4-mini,Emotional_Stability,EST5,0.9143817789111034
AI,gpt-5.4-mini,Emotional_Stability,EST6,0.9026679156269075
AI,gpt-5.4-mini,Emotional_Stability,EST7,0.8565156143174051
AI,gpt-5.4-mini,Emotional_Stability,EST8,0.790994901791569
AI,gpt-5.4-mini,Emotional_Stability,EST9,0.8925299973159146
AI,gpt-5.4-mini,Emotional_Stability,EST10,0.8575062464438541
AI,gpt-5.4-mini,Agreeableness,AGR1,0.5557518191810875
AI,gpt-5.4-mini,Agreeableness,AGR2,0.7082543175317428
AI,gpt-5.4-mini,Agreeableness,AGR3,0.6955035793620474
AI,gpt-5.4-mini,Agreeableness,AGR4,0.6990633281497137
AI,gpt-5.4-mini,Agreeableness,AGR5,0.6322207573007587
AI,gpt-5.4-mini,Agreeableness,AGR6,0.7239765306614925
AI,gpt-5.4-mini,Agreeableness,AGR7,0.594038540867412
AI,gpt-5.4-mini,Agreeableness,AGR8,0.6368167696946788
AI,gpt-5.4-mini,Agreeableness,AGR9,0.7013943552687947
AI,gpt-5.4-mini,Agreeableness,AGR10,0.7184169129038667
AI,gpt-5.4-mini,Conscientiousness,CSN1,0.8858768087688942
AI,gpt-5.4-mini,Conscientiousness,CSN2,0.7915600182750948
AI,gpt-5.4-mini,Conscientiousness,CSN3,0.8864411756930979
AI,gpt-5.4-mini,Conscientiousness,CSN4,0.7979446909383564
AI,gpt-5.4-mini,Conscientiousness,CSN5,0.7527530070520025
AI,gpt-5.4-mini,Conscientiousness,CSN6,0.7899349885592543
AI,gpt-5.4-mini,Conscientiousness,CSN7,0.88236164575241
AI,gpt-5.4-mini,Conscientiousness,CSN8,0.317418261319339
AI,gpt-5.4-mini,Conscientiousness,CSN9,0.47339610815338945
AI,gpt-5.4-mini,Conscientiousness,CSN10,0.8864411756930979
AI,gpt-5.4-mini,Openness,OPN1,0.6601205744008234
AI,gpt-5.4-mini,Openness,OPN2,0.6417983474274428
AI,gpt-5.4-mini,Openness,OPN3,0.6606940958333255
AI,gpt-5.4-mini,Openness,OPN4,0.6470081947877885
AI,gpt-5.4-mini,Openness,OPN5,0.6606940958333255
AI,gpt-5.4-mini,Openness,OPN6,0.6471523579391059
AI,gpt-5.4-mini,Openness,OPN7,0.6601205744008234
AI,gpt-5.4-mini,Openness,OPN8,0.014797897468098712
AI,gpt-5.4-mini,Openness,OPN9,0.6509523286038076
AI,gpt-5.4-mini,Openness,OPN10,0.6606940958333255
AI,gpt-5.4-nano,Extraversion,EXT1,0.9103467348221145
AI,gpt-5.4-nano,Extraversion,EXT2,0.9084874881527525
AI,gpt-5.4-nano,Extraversion,EXT3,0.1862939655114166
AI,gpt-5.4-nano,Extraversion,EXT4,0.8733134139805853
AI,gpt-5.4-nano,Extraversion,EXT5,0.8207544843903334
AI,gpt-5.4-nano,Extraversion,EXT6,0.8918811198413722
AI,gpt-5.4-nano,Extraversion,EXT7,0.8314291467437854
AI,gpt-5.4-nano,Extraversion,EXT8,0.7520465969050857
AI,gpt-5.4-nano,Extraversion,EXT9,0.7042320489925736
AI,gpt-5.4-nano,Extraversion,EXT10,0.8421718342790204
AI,gpt-5.4-nano,Emotional_Stability,EST1,0.8797661406205016
AI,gpt-5.4-nano,Emotional_Stability,EST2,0.7310982294675189
AI,gpt-5.4-nano,Emotional_Stability,EST3,0.7390452000949439
AI,gpt-5.4-nano,Emotional_Stability,EST4,0.5102262020580244
AI,gpt-5.4-nano,Emotional_Stability,EST5,0.870718511866447
AI,gpt-5.4-nano,Emotional_Stability,EST6,0.7713173963220034
AI,gpt-5.4-nano,Emotional_Stability,EST7,0.6072345542534859
