item,alpha_if_deleted,group,model,trait
OPN5,0.7914394758843699,AI,claude-haiku-4.5,Openness
OPN6,0.8699349035156034,AI,claude-haiku-4.5,Openness
OPN7,0.8081374733331278,AI,claude-haiku-4.5,Openness
OPN8,0.8229199565413825,AI,claude-haiku-4.5,Openness
OPN9,0.8327792363244928,AI,claude-haiku-4.5,Openness
OPN10,0.7902888927856412,AI,claude-haiku-4.5,Openness
EXT1,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT2,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT3,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT4,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT5,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT6,0.4354248011393911,AI,claude-sonnet-4.6,Extraversion
EXT7,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT8,-0.0021857466622863253,AI,claude-sonnet-4.6,Extraversion
EXT9,0.0007890540291139309,AI,claude-sonnet-4.6,Extraversion
EXT10,-0.004286721564287471,AI,claude-sonnet-4.6,Extraversion
EST1,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST2,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST3,0.0,AI,claude-sonnet-4.6,Emotional_Stability
EST4,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST5,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST6,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST7,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST8,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
EST9,2.498001805406602e-16,AI,claude-sonnet-4.6,Emotional_Stability
EST10,0.0018667164457717433,AI,claude-sonnet-4.6,Emotional_Stability
AGR1,0.11389753470569083,AI,claude-sonnet-4.6,Agreeableness
AGR2,-0.01151933626216034,AI,claude-sonnet-4.6,Agreeableness
AGR3,0.0688397737477388,AI,claude-sonnet-4.6,Agreeableness
AGR4,0.03432225878258974,AI,claude-sonnet-4.6,Agreeableness
AGR5,0.06286404491683636,AI,claude-sonnet-4.6,Agreeableness
AGR6,0.0688397737477388,AI,claude-sonnet-4.6,Agreeableness
AGR7,0.014639864415079445,AI,claude-sonnet-4.6,Agreeableness
AGR8,0.0688397737477388,AI,claude-sonnet-4.6,Agreeableness
AGR9,0.0688397737477388,AI,claude-sonnet-4.6,Agreeableness
AGR10,0.2144769555985674,AI,claude-sonnet-4.6,Agreeableness
CSN1,0.32800551195824845,AI,claude-sonnet-4.6,Conscientiousness
CSN2,0.32800551195824845,AI,claude-sonnet-4.6,Conscientiousness
CSN3,0.46360957237408984,AI,claude-sonnet-4.6,Conscientiousness
CSN4,0.46360957237408984,AI,claude-sonnet-4.6,Conscientiousness
CSN5,0.46360957237408984,AI,claude-sonnet-4.6,Conscientiousness
CSN6,0.32800551195824845,AI,claude-sonnet-4.6,Conscientiousness
CSN7,0.4477797015635815,AI,claude-sonnet-4.6,Conscientiousness
CSN8,0.6386950671271326,AI,claude-sonnet-4.6,Conscientiousness
CSN9,0.4628956712889355,AI,claude-sonnet-4.6,Conscientiousness
CSN10,0.4483671930224006,AI,claude-sonnet-4.6,Conscientiousness
OPN1,0.034987773040215706,AI,claude-sonnet-4.6,Openness
OPN2,0.01965838006902479,AI,claude-sonnet-4.6,Openness
OPN3,0.034987773040215706,AI,claude-sonnet-4.6,Openness
OPN4,0.01965838006902479,AI,claude-sonnet-4.6,Openness
OPN5,0.034987773040215706,AI,claude-sonnet-4.6,Openness
OPN6,0.08980302319708569,AI,claude-sonnet-4.6,Openness
OPN7,0.034987773040215706,AI,claude-sonnet-4.6,Openness
OPN8,0.034987773040215706,AI,claude-sonnet-4.6,Openness
OPN9,0.025588933035024783,AI,claude-sonnet-4.6,Openness
OPN10,0.034987773040215706,AI,claude-sonnet-4.6,Openness
EXT1,0.9233871043973098,AI,deepseek-v3.2,Extraversion
EXT2,0.9256976234476328,AI,deepseek-v3.2,Extraversion
EXT3,0.9265935249740029,AI,deepseek-v3.2,Extraversion
EXT4,0.9208950741158065,AI,deepseek-v3.2,Extraversion
EXT5,0.9229335940328174,AI,deepseek-v3.2,Extraversion
EXT6,0.9202267508117408,AI,deepseek-v3.2,Extraversion
EXT7,0.9219831749454033,AI,deepseek-v3.2,Extraversion
EXT8,0.9195179288148674,AI,deepseek-v3.2,Extraversion
EXT9,0.9198514901759577,AI,deepseek-v3.2,Extraversion
EXT10,0.9200808054667804,AI,deepseek-v3.2,Extraversion
EST1,0.9600212252924679,AI,deepseek-v3.2,Emotional_Stability
EST2,0.9584970423165433,AI,deepseek-v3.2,Emotional_Stability
EST3,0.9601283104456805,AI,deepseek-v3.2,Emotional_Stability
EST4,0.960027347715609,AI,deepseek-v3.2,Emotional_Stability
EST5,0.9577548613824339,AI,deepseek-v3.2,Emotional_Stability
EST6,0.9586933748156955,AI,deepseek-v3.2,Emotional_Stability
EST7,0.9650559860407075,AI,deepseek-v3.2,Emotional_Stability
EST8,0.9617533335027856,AI,deepseek-v3.2,Emotional_Stability
EST9,0.961254774866307,AI,deepseek-v3.2,Emotional_Stability
EST10,0.9591008989948526,AI,deepseek-v3.2,Emotional_Stability
AGR1,0.8104844215458371,AI,deepseek-v3.2,Agreeableness
AGR2,0.8018327793212885,AI,deepseek-v3.2,Agreeableness
AGR3,0.827065829042425,AI,deepseek-v3.2,Agreeableness
AGR4,0.8046916731463618,AI,deepseek-v3.2,Agreeableness
AGR5,0.7924918099016627,AI,deepseek-v3.2,Agreeableness
AGR6,0.8051238751882621,AI,deepseek-v3.2,Agreeableness
AGR7,0.790354746883033,AI,deepseek-v3.2,Agreeableness
AGR8,0.814089614558362,AI,deepseek-v3.2,Agreeableness
AGR9,0.824007212623864,AI,deepseek-v3.2,Agreeableness
AGR10,0.8197427493006115,AI,deepseek-v3.2,Agreeableness
CSN1,0.8734426652570649,AI,deepseek-v3.2,Conscientiousness
CSN2,0.8754338816064947,AI,deepseek-v3.2,Conscientiousness
CSN3,0.8917470527395799,AI,deepseek-v3.2,Conscientiousness
CSN4,0.8834211876863038,AI,deepseek-v3.2,Conscientiousness
CSN5,0.8865172421340636,AI,deepseek-v3.2,Conscientiousness
CSN6,0.87648504367917,AI,deepseek-v3.2,Conscientiousness
CSN7,0.8883601711081788,AI,deepseek-v3.2,Conscientiousness
CSN8,0.8889319783657883,AI,deepseek-v3.2,Conscientiousness
CSN9,0.882871187041245,AI,deepseek-v3.2,Conscientiousness
CSN10,0.8930532459847939,AI,deepseek-v3.2,Conscientiousness
OPN1,0.8004952894015309,AI,deepseek-v3.2,Openness
OPN2,0.8054342690528767,AI,deepseek-v3.2,Openness
OPN3,0.8037730639432591,AI,deepseek-v3.2,Openness
OPN4,0.8057655729624825,AI,deepseek-v3.2,Openness
OPN5,0.8068334392489503,AI,deepseek-v3.2,Openness
OPN6,0.7989464383956106,AI,deepseek-v3.2,Openness
OPN7,0.807068127311509,AI,deepseek-v3.2,Openness
OPN8,0.8085909960890942,AI,deepseek-v3.2,Openness
OPN9,0.8204406023003525,AI,deepseek-v3.2,Openness
OPN10,0.7942179462982945,AI,deepseek-v3.2,Openness
EXT1,0.9639416714966789,AI,gemini-3-flash-preview,Extraversion
EXT2,0.963921218919618,AI,gemini-3-flash-preview,Extraversion
EXT3,0.9799407941974692,AI,gemini-3-flash-preview,Extraversion
EXT4,0.9639557577319201,AI,gemini-3-flash-preview,Extraversion
EXT5,0.9638564662830238,AI,gemini-3-flash-preview,Extraversion
EXT6,0.9645799584780916,AI,gemini-3-flash-preview,Extraversion
EXT7,0.9662145513465675,AI,gemini-3-flash-preview,Extraversion
EXT8,0.9639855781242076,AI,gemini-3-flash-preview,Extraversion
EXT9,0.9655207272911053,AI,gemini-3-flash-preview,Extraversion
EXT10,0.9660118732202161,AI,gemini-3-flash-preview,Extraversion
EST1,0.6575821534923245,AI,gemini-3-flash-preview,Emotional_Stability
EST2,0.7146262304845404,AI,gemini-3-flash-preview,Emotional_Stability
EST3,0.6334708440681619,AI,gemini-3-flash-preview,Emotional_Stability
EST4,0.7142283668096645,AI,gemini-3-flash-preview,Emotional_Stability
EST5,0.7267866501481469,AI,gemini-3-flash-preview,Emotional_Stability
EST6,0.72940077637474,AI,gemini-3-flash-preview,Emotional_Stability
EST7,0.7283214381625187,AI,gemini-3-flash-preview,Emotional_Stability
EST8,0.6881900657397547,AI,gemini-3-flash-preview,Emotional_Stability
EST9,0.7188819614921276,AI,gemini-3-flash-preview,Emotional_Stability
EST10,0.6424100560086357,AI,gemini-3-flash-preview,Emotional_Stability
AGR1,0.5966632087259959,AI,gemini-3-flash-preview,Agreeableness
AGR2,0.6887708255977357,AI,gemini-3-flash-preview,Agreeableness
AGR3,0.7067617357754612,AI,gemini-3-flash-preview,Agreeableness
AGR4,0.6814744210698462,AI,gemini-3-flash-preview,Agreeableness
AGR5,0.5886348881201392,AI,gemini-3-flash-preview,Agreeableness
AGR6,0.705541950501695,AI,gemini-3-flash-preview,Agreeableness
AGR7,0.6002765998966884,AI,gemini-3-flash-preview,Agreeableness
AGR8,0.7009213588320182,AI,gemini-3-flash-preview,Agreeableness
AGR9,0.7067617357754613,AI,gemini-3-flash-preview,Agreeableness
AGR10,0.6949635431870527,AI,gemini-3-flash-preview,Agreeableness
CSN1,0.16283726937015716,AI,gemini-3-flash-preview,Conscientiousness
CSN2,0.2785364564319586,AI,gemini-3-flash-preview,Conscientiousness
CSN3,0.2758542022156975,AI,gemini-3-flash-preview,Conscientiousness
CSN4,0.29273133669111784,AI,gemini-3-flash-preview,Conscientiousness
CSN5,0.2700128093717956,AI,gemini-3-flash-preview,Conscientiousness
CSN6,0.2785364564319586,AI,gemini-3-flash-preview,Conscientiousness
CSN7,0.2419694242432468,AI,gemini-3-flash-preview,Conscientiousness
CSN8,0.29860992376308604,AI,gemini-3-flash-preview,Conscientiousness
CSN9,0.29843115791923835,AI,gemini-3-flash-preview,Conscientiousness
CSN10,0.26668461006056365,AI,gemini-3-flash-preview,Conscientiousness
OPN1,0.6898034946222091,AI,gemini-3-flash-preview,Openness
OPN2,0.7352690586043458,AI,gemini-3-flash-preview,Openness
OPN3,0.7528286659639499,AI,gemini-3-flash-preview,Openness
OPN4,0.7351643591750342,AI,gemini-3-flash-preview,Openness
OPN5,0.6968118481509546,AI,gemini-3-flash-preview,Openness
OPN6,0.7698838204318293,AI,gemini-3-flash-preview,Openness
OPN7,0.7674564965874605,AI,gemini-3-flash-preview,Openness
OPN8,0.7109094965495549,AI,gemini-3-flash-preview,Openness
OPN9,0.7723335257659637,AI,gemini-3-flash-preview,Openness
OPN10,0.7573648725917544,AI,gemini-3-flash-preview,Openness
EXT1,0.9707792934102499,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT2,0.9707394757406814,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT3,0.9713696156535941,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT4,0.9699132761397065,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT5,0.9712004891595084,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT6,0.9697142236886279,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT7,0.9707454790868015,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT8,0.9725679484502048,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT9,0.9708373301015222,AI,gemini-3.1-flash-lite-preview,Extraversion
EXT10,0.9706532938167705,AI,gemini-3.1-flash-lite-preview,Extraversion
EST1,0.8961653750546329,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST2,0.8960595047238017,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST3,0.8957689650988023,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST4,0.8945064112813034,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST5,0.9039786660291467,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST6,0.9029344660479355,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST7,0.9032029886783587,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST8,0.9074224104434776,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST9,0.9015620073049012,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
EST10,0.898159082610291,AI,gemini-3.1-flash-lite-preview,Emotional_Stability
AGR1,0.8662588147341962,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR2,0.8539848780296956,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR3,0.8905310231069523,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR4,0.8495655925557772,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR5,0.8474865934465932,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR6,0.8552638247034653,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR7,0.8561203944964157,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR8,0.8942459299897689,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR9,0.8849049095482504,AI,gemini-3.1-flash-lite-preview,Agreeableness
AGR10,0.8606864722939493,AI,gemini-3.1-flash-lite-preview,Agreeableness
CSN1,0.7819696212115592,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN2,0.7850242411768167,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN3,0.7644414797320953,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN4,0.7772843042642512,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN5,0.7922257860296298,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN6,0.7822615498960105,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN7,0.7745111541789796,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN8,0.8043371661696022,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN9,0.7843779061892472,AI,gemini-3.1-flash-lite-preview,Conscientiousness
CSN10,0.7674335565022528,AI,gemini-3.1-flash-lite-preview,Conscientiousness
OPN1,0.8066019391507967,AI,gemini-3.1-flash-lite-preview,Openness
OPN2,0.7796737261665062,AI,gemini-3.1-flash-lite-preview,Openness
OPN3,0.77990942127471,AI,gemini-3.1-flash-lite-preview,Openness
OPN4,0.779548781728501,AI,gemini-3.1-flash-lite-preview,Openness
OPN5,0.8060570285817005,AI,gemini-3.1-flash-lite-preview,Openness
OPN6,0.8238593851427509,AI,gemini-3.1-flash-lite-preview,Openness
OPN7,0.7861249219499667,AI,gemini-3.1-flash-lite-preview,Openness
OPN8,0.8332404940676529,AI,gemini-3.1-flash-lite-preview,Openness
OPN9,0.8238026872912887,AI,gemini-3.1-flash-lite-preview,Openness
OPN10,0.784918347833033,AI,gemini-3.1-flash-lite-preview,Openness
EXT1,0.945431826509569,AI,gpt-5.4,Extraversion
EXT2,0.9429983330539422,AI,gpt-5.4,Extraversion
EXT3,0.9668225125099622,AI,gpt-5.4,Extraversion
EXT4,0.9429983330539422,AI,gpt-5.4,Extraversion
EXT5,0.9527211769774476,AI,gpt-5.4,Extraversion
EXT6,0.9552277119824835,AI,gpt-5.4,Extraversion
EXT7,0.9460725754342334,AI,gpt-5.4,Extraversion
EXT8,0.9429993162191399,AI,gpt-5.4,Extraversion
EXT9,0.9485930688399217,AI,gpt-5.4,Extraversion
EXT10,0.9472181957770623,AI,gpt-5.4,Extraversion
EST1,0.9786508014664147,AI,gpt-5.4,Emotional_Stability
EST2,0.9774690089660847,AI,gpt-5.4,Emotional_Stability
EST3,0.9813818221196476,AI,gpt-5.4,Emotional_Stability
EST4,0.9771522204679548,AI,gpt-5.4,Emotional_Stability
EST5,0.9773257188207249,AI,gpt-5.4,Emotional_Stability
EST6,0.9770713038900772,AI,gpt-5.4,Emotional_Stability
EST7,0.980117109859078,AI,gpt-5.4,Emotional_Stability
EST8,0.9778507606547454,AI,gpt-5.4,Emotional_Stability
EST9,0.9796385074273536,AI,gpt-5.4,Emotional_Stability
EST10,0.9806871473720442,AI,gpt-5.4,Emotional_Stability
AGR1,0.5615496077088822,AI,gpt-5.4,Agreeableness
AGR2,0.26788152034073326,AI,gpt-5.4,Agreeableness
AGR3,0.5617235365960059,AI,gpt-5.4,Agreeableness
AGR4,0.5440576471596104,AI,gpt-5.4,Agreeableness
AGR5,0.5592309090960882,AI,gpt-5.4,Agreeableness
AGR6,0.46649127842964544,AI,gpt-5.4,Agreeableness
AGR7,0.5523388075593253,AI,gpt-5.4,Agreeableness
AGR8,0.5509879952555111,AI,gpt-5.4,Agreeableness
AGR9,0.5793168496573705,AI,gpt-5.4,Agreeableness
AGR10,0.465670015550222,AI,gpt-5.4,Agreeableness
CSN1,0.6829824976845491,AI,gpt-5.4,Conscientiousness
CSN2,0.681570202716031,AI,gpt-5.4,Conscientiousness
CSN3,0.5731306627403578,AI,gpt-5.4,Conscientiousness
CSN4,0.683053684760298,AI,gpt-5.4,Conscientiousness
CSN5,0.6773455620549338,AI,gpt-5.4,Conscientiousness
CSN6,0.7017354808209437,AI,gpt-5.4,Conscientiousness
CSN7,0.6559054097208089,AI,gpt-5.4,Conscientiousness
CSN8,0.6831740671116288,AI,gpt-5.4,Conscientiousness
CSN9,0.574336510166166,AI,gpt-5.4,Conscientiousness
CSN10,0.5782295247461373,AI,gpt-5.4,Conscientiousness
OPN1,0.7988212556326051,AI,gpt-5.4,Openness
OPN2,0.8167224652946576,AI,gpt-5.4,Openness
OPN3,0.7928491878532852,AI,gpt-5.4,Openness
OPN4,0.8351544629598221,AI,gpt-5.4,Openness
OPN5,0.8348725123701162,AI,gpt-5.4,Openness
OPN6,0.7825674097304772,AI,gpt-5.4,Openness
OPN7,0.8001790695635248,AI,gpt-5.4,Openness
OPN8,0.8009615877914034,AI,gpt-5.4,Openness
OPN9,0.8184891308148949,AI,gpt-5.4,Openness
OPN10,0.7906972871450993,AI,gpt-5.4,Openness
EXT1,0.9261767635742477,AI,gpt-5.4-mini,Extraversion
EXT2,0.9265539922815407,AI,gpt-5.4-mini,Extraversion
EXT3,0.946060732902863,AI,gpt-5.4-mini,Extraversion
EXT4,0.935823003154513,AI,gpt-5.4-mini,Extraversion
EXT5,0.9355759862055176,AI,gpt-5.4-mini,Extraversion
EXT6,0.9387357135800249,AI,gpt-5.4-mini,Extraversion
EXT7,0.9282953663395566,AI,gpt-5.4-mini,Extraversion
EXT8,0.9305024277489162,AI,gpt-5.4-mini,Extraversion
EXT9,0.937158009170032,AI,gpt-5.4-mini,Extraversion
EXT10,0.9344722232005532,AI,gpt-5.4-mini,Extraversion
EST1,0.9500207496911783,AI,gpt-5.4-mini,Emotional_Stability
EST2,0.9494442807691246,AI,gpt-5.4-mini,Emotional_Stability
EST3,0.961014996660426,AI,gpt-5.4-mini,Emotional_Stability
EST4,0.9586555559731116,AI,gpt-5.4-mini,Emotional_Stability
EST5,0.947970119406613,AI,gpt-5.4-mini,Emotional_Stability
EST6,0.9489115030251496,AI,gpt-5.4-mini,Emotional_Stability
EST7,0.951050101157509,AI,gpt-5.4-mini,Emotional_Stability
EST8,0.9537411756585213,AI,gpt-5.4-mini,Emotional_Stability
EST9,0.9494551831284556,AI,gpt-5.4-mini,Emotional_Stability
EST10,0.9509680884287839,AI,gpt-5.4-mini,Emotional_Stability
AGR1,0.8191364740599192,AI,gpt-5.4-mini,Agreeableness
AGR2,0.8199128012645103,AI,gpt-5.4-mini,Agreeableness
AGR3,0.8080912551085315,AI,gpt-5.4-mini,Agreeableness
AGR4,0.8212088054755076,AI,gpt-5.4-mini,Agreeableness
AGR5,0.8233499205722431,AI,gpt-5.4-mini,Agreeableness
AGR6,0.8211641159942884,AI,gpt-5.4-mini,Agreeableness
AGR7,0.8396430644880641,AI,gpt-5.4-mini,Agreeableness
AGR8,0.8212091220613231,AI,gpt-5.4-mini,Agreeableness
AGR9,0.820955947468488,AI,gpt-5.4-mini,Agreeableness
AGR10,0.8206769047719569,AI,gpt-5.4-mini,Agreeableness
CSN1,0.8471515360285946,AI,gpt-5.4-mini,Conscientiousness
CSN2,0.8507585323047977,AI,gpt-5.4-mini,Conscientiousness
CSN3,0.8472177750898271,AI,gpt-5.4-mini,Conscientiousness
CSN4,0.8513191783332708,AI,gpt-5.4-mini,Conscientiousness
CSN5,0.8496490615964738,AI,gpt-5.4-mini,Conscientiousness
CSN6,0.8507158506108397,AI,gpt-5.4-mini,Conscientiousness
CSN7,0.8471510453988822,AI,gpt-5.4-mini,Conscientiousness
CSN8,0.9409296910359088,AI,gpt-5.4-mini,Conscientiousness
CSN9,0.8742222262198853,AI,gpt-5.4-mini,Conscientiousness
CSN10,0.8472177750898271,AI,gpt-5.4-mini,Conscientiousness
OPN1,0.7342255635914725,AI,gpt-5.4-mini,Openness
OPN2,0.6988922476367476,AI,gpt-5.4-mini,Openness
OPN3,0.7340908923666826,AI,gpt-5.4-mini,Openness
OPN4,0.6970266400970888,AI,gpt-5.4-mini,Openness
OPN5,0.7340908923666826,AI,gpt-5.4-mini,Openness
OPN6,0.6969791818591978,AI,gpt-5.4-mini,Openness
OPN7,0.7342255635914725,AI,gpt-5.4-mini,Openness
OPN8,0.8452604647926865,AI,gpt-5.4-mini,Openness
OPN9,0.734171339398367,AI,gpt-5.4-mini,Openness
OPN10,0.7340908923666826,AI,gpt-5.4-mini,Openness
EXT1,0.9317634996609665,AI,gpt-5.4-nano,Extraversion
EXT2,0.9329903862900311,AI,gpt-5.4-nano,Extraversion
EXT3,0.9553639092737113,AI,gpt-5.4-nano,Extraversion
EXT4,0.933725715893257,AI,gpt-5.4-nano,Extraversion
EXT5,0.9386693869036984,AI,gpt-5.4-nano,Extraversion
EXT6,0.9351678342349041,AI,gpt-5.4-nano,Extraversion
EXT7,0.9374194149907236,AI,gpt-5.4-nano,Extraversion
EXT8,0.939666044148238,AI,gpt-5.4-nano,Extraversion
EXT9,0.9417216388977896,AI,gpt-5.4-nano,Extraversion
EXT10,0.9361050491871001,AI,gpt-5.4-nano,Extraversion
